"id","driver_code","attendance_date","attendance_status"
1,DRIVER034,2024-02-11,true
2,DRIVER021,2024-02-24,true
3,DRIVER034,2024-02-24,true
4,DRIVER027,2024-02-27,true
5,DRIVER018,2024-02-25,false
6,DRIVER016,2024-02-17,false
7,DRIVER011,2024-02-15,true
8,DRIVER011,2024-02-10,true
9,DRIVER006,2024-02-16,true
10,DRIVER027,2024-02-10,true
11,DRIVER020,2024-02-08,true
13,DRIVER019,2024-03-01,false
14,DRIVER020,2024-02-11,false
15,DRIVER013,2024-02-21,true
16,DRIVER010,2024-02-26,false
17,DRIVER006,2024-02-29,false
18,DRIVER011,2024-02-05,false
19,DRIVER013,2024-02-18,false
20,DRIVER008,2024-02-24,true
21,DRIVER013,2024-02-28,false
22,DRIVER010,2024-02-23,false
23,DRIVER010,2024-02-18,false
24,DRIVER006,2024-02-13,true
25,DRIVER002,2024-03-02,true
26,DRIVER005,2024-02-25,false
27,DRIVER013,2024-03-03,true
28,DRIVER026,2024-03-04,true
29,DRIVER007,2024-02-15,true
30,DRIVER022,2024-03-02,false
31,DRIVER021,2024-02-08,false
32,DRIVER029,2024-02-17,true
33,DRIVER020,2024-02-28,true
34,DRIVER005,2024-02-14,true
35,DRIVER018,2024-02-13,false
36,DRIVER001,2024-03-02,false
37,DRIVER007,2024-02-14,false
38,DRIVER004,2024-02-04,true
39,DRIVER021,2024-02-10,false
40,DRIVER031,2024-02-19,false
41,DRIVER033,2024-02-28,true
42,DRIVER006,2024-02-15,true
43,DRIVER004,2024-02-07,false
44,DRIVER003,2024-02-11,false
45,DRIVER028,2024-02-17,false
46,DRIVER033,2024-03-01,true
47,DRIVER004,2024-02-18,true
48,DRIVER031,2024-02-27,true
49,DRIVER008,2024-02-16,true
50,DRIVER022,2024-02-05,false
52,DRIVER009,2024-02-05,true
53,DRIVER034,2024-02-27,true
54,DRIVER027,2024-02-06,false
55,DRIVER006,2024-03-01,true
56,DRIVER034,2024-02-08,true
57,DRIVER009,2024-02-14,true
58,DRIVER015,2024-02-18,false
59,DRIVER004,2024-02-21,true
60,DRIVER034,2024-02-29,false
61,DRIVER021,2024-02-13,false
62,DRIVER032,2024-02-14,false
64,DRIVER033,2024-03-03,true
65,DRIVER029,2024-02-26,true
66,DRIVER031,2024-02-18,true
67,DRIVER013,2024-02-11,false
68,DRIVER015,2024-02-25,true
69,DRIVER029,2024-02-23,false
70,DRIVER012,2024-02-10,false
71,DRIVER017,2024-02-07,true
72,DRIVER012,2024-02-27,true
73,DRIVER025,2024-02-28,false
74,DRIVER019,2024-02-16,true
75,DRIVER011,2024-02-07,false
76,DRIVER008,2024-02-09,false
77,DRIVER003,2024-02-13,false
78,DRIVER006,2024-02-17,false
79,DRIVER017,2024-02-20,true
80,DRIVER007,2024-03-02,false
82,DRIVER027,2024-02-15,false
83,DRIVER013,2024-02-08,false
84,DRIVER001,2024-02-18,true
85,DRIVER024,2024-02-23,true
86,DRIVER005,2024-02-17,false
87,DRIVER017,2024-02-04,false
88,DRIVER006,2024-02-08,true
89,DRIVER031,2024-02-26,true
90,DRIVER012,2024-03-04,true
91,DRIVER009,2024-02-29,true
94,DRIVER025,2024-02-08,true
95,DRIVER007,2024-02-04,true
96,DRIVER019,2024-02-11,false
97,DRIVER030,2024-03-03,true
98,DRIVER020,2024-02-14,true
