"id","driver_code","shipment_no","total_costs","cost_status"
1,DRIVER015,SHIPMENT493,3800000.00,PAID
2,DRIVER008,SHIPMENT994,700000.00,CONFIRMED
3,DRIVER031,SHIPMENT247,100000.00,PENDING
4,DRIVER032,SHIPMENT516,4000000.00,CONFIRMED
5,DRIVER017,SHIPMENT824,5800000.00,CONFIRMED
6,DRIVER016,SHIPMENT796,6800000.00,CONFIRMED
7,DRIVER001,SHIPMENT970,7600000.00,PENDING
8,DRIVER019,SHIPMENT998,700000.00,PAID
9,DRIVER033,SHIPMENT345,5600000.00,CONFIRMED
10,DRIVER012,SHIPMENT201,2200000.00,PENDING
11,DRIVER018,SHIPMENT257,9200000.00,PAID
12,DRIVER016,SHIPMENT013,4300000.00,PENDING
13,DRIVER032,SHIPMENT546,2900000.00,CONFIRMED
14,DRIVER034,SHIPMENT862,7300000.00,PENDING
15,DRIVER029,SHIPMENT996,200000.00,CONFIRMED
16,DRIVER010,SHIPMENT553,5700000.00,CONFIRMED
17,DRIVER009,SHIPMENT773,4600000.00,CONFIRMED
18,DRIVER011,SHIPMENT034,1500000.00,PAID
19,DRIVER035,SHIPMENT152,2600000.00,CONFIRMED
20,DRIVER035,SHIPMENT819,3700000.00,PAID
21,DRIVER017,SHIPMENT738,4000000.00,PAID
22,DRIVER020,SHIPMENT050,1600000.00,CONFIRMED
23,DRIVER020,SHIPMENT774,1300000.00,PAID
24,DRIVER025,SHIPMENT639,700000.00,PENDING
25,DRIVER012,SHIPMENT189,3600000.00,PENDING
26,DRIVER017,SHIPMENT965,1200000.00,PAID
27,DRIVER023,SHIPMENT506,3400000.00,PENDING
28,DRIVER013,SHIPMENT017,6300000.00,CONFIRMED
29,DRIVER021,SHIPMENT734,6400000.00,PENDING
30,DRIVER002,SHIPMENT395,600000.00,PAID
31,DRIVER004,SHIPMENT798,3500000.00,PAID
32,DRIVER028,SHIPMENT399,2900000.00,CONFIRMED
33,DRIVER015,SHIPMENT268,8100000.00,PAID
34,DRIVER017,SHIPMENT321,2800000.00,PAID
35,DRIVER032,SHIPMENT369,5400000.00,CONFIRMED
36,DRIVER009,SHIPMENT502,2000000.00,PENDING
37,DRIVER013,SHIPMENT939,6400000.00,CONFIRMED
38,DRIVER010,SHIPMENT585,5300000.00,PENDING
39,DRIVER010,SHIPMENT615,9800000.00,CONFIRMED
40,DRIVER023,SHIPMENT200,800000.00,CONFIRMED
41,DRIVER034,SHIPMENT704,500000.00,CONFIRMED
42,DRIVER029,SHIPMENT546,2000000.00,PENDING
43,DRIVER025,SHIPMENT663,9300000.00,PENDING
44,DRIVER033,SHIPMENT456,7900000.00,CONFIRMED
45,DRIVER003,SHIPMENT172,3900000.00,PENDING
46,DRIVER034,SHIPMENT297,4700000.00,PENDING
