"shipment_no","shipment_date","shipment_status"
SHIPMENT001,2024-03-24,DONE
SHIPMENT002,2024-02-08,RUNNING
SHIPMENT003,2024-03-27,RUNNING
SHIPMENT004,2024-02-22,RUNNING
SHIPMENT005,2024-03-21,CANCELLED
SHIPMENT006,2024-03-21,DONE
SHIPMENT007,2024-02-08,CANCELLED
SHIPMENT008,2024-02-20,DONE
SHIPMENT009,2024-03-23,DONE
SHIPMENT010,2024-02-09,DONE
SHIPMENT011,2024-02-27,DONE
SHIPMENT012,2024-03-09,DONE
SHIPMENT013,2024-02-21,CANCELLED
SHIPMENT014,2024-03-17,RUNNING
SHIPMENT015,2024-03-02,DONE
SHIPMENT016,2024-03-17,RUNNING
SHIPMENT017,2024-03-29,DONE
SHIPMENT018,2024-03-21,CANCELLED
SHIPMENT019,2024-03-29,RUNNING
SHIPMENT020,2024-03-13,DONE
SHIPMENT021,2024-02-10,CANCELLED
SHIPMENT022,2024-02-09,RUNNING
SHIPMENT023,2024-03-04,DONE
SHIPMENT024,2024-02-25,RUNNING
SHIPMENT025,2024-02-16,CANCELLED
SHIPMENT026,2024-03-23,RUNNING
SHIPMENT027,2024-02-14,DONE
SHIPMENT028,2024-03-22,DONE
SHIPMENT029,2024-03-27,RUNNING
SHIPMENT030,2024-02-15,RUNNING
SHIPMENT031,2024-03-30,CANCELLED
SHIPMENT032,2024-03-29,CANCELLED
SHIPMENT033,2024-03-06,CANCELLED
SHIPMENT034,2024-02-22,RUNNING
SHIPMENT035,2024-03-20,DONE
SHIPMENT036,2024-03-09,RUNNING
SHIPMENT037,2024-03-08,RUNNING
SHIPMENT038,2024-03-22,CANCELLED
SHIPMENT039,2024-02-06,CANCELLED
SHIPMENT040,2024-03-25,DONE
SHIPMENT041,2024-02-17,RUNNING
SHIPMENT042,2024-02-22,CANCELLED
SHIPMENT043,2024-02-20,DONE
SHIPMENT044,2024-03-28,RUNNING
SHIPMENT045,2024-02-25,DONE
SHIPMENT046,2024-02-04,DONE
SHIPMENT047,2024-03-14,DONE
SHIPMENT048,2024-02-21,RUNNING
SHIPMENT049,2024-02-14,DONE
SHIPMENT050,2024-03-16,CANCELLED
SHIPMENT051,2024-03-22,CANCELLED
SHIPMENT052,2024-02-16,RUNNING
SHIPMENT053,2024-02-07,RUNNING
SHIPMENT054,2024-02-23,CANCELLED
SHIPMENT055,2024-02-13,CANCELLED
SHIPMENT056,2024-03-04,CANCELLED
SHIPMENT057,2024-02-12,DONE
SHIPMENT058,2024-03-18,CANCELLED
SHIPMENT059,2024-03-20,DONE
SHIPMENT060,2024-02-11,DONE
SHIPMENT061,2024-03-12,RUNNING
SHIPMENT062,2024-03-24,RUNNING
SHIPMENT063,2024-03-14,DONE
SHIPMENT064,2024-03-20,CANCELLED
SHIPMENT065,2024-03-18,RUNNING
SHIPMENT066,2024-02-06,CANCELLED
SHIPMENT067,2024-02-23,RUNNING
SHIPMENT068,2024-03-12,DONE
SHIPMENT069,2024-02-23,RUNNING
SHIPMENT070,2024-03-08,CANCELLED
SHIPMENT071,2024-03-17,DONE
SHIPMENT072,2024-03-24,CANCELLED
SHIPMENT073,2024-03-08,RUNNING
SHIPMENT074,2024-02-26,DONE
SHIPMENT075,2024-02-08,DONE
SHIPMENT076,2024-02-11,DONE
SHIPMENT077,2024-02-04,RUNNING
SHIPMENT078,2024-03-21,DONE
SHIPMENT079,2024-03-05,CANCELLED
SHIPMENT080,2024-02-09,DONE
SHIPMENT081,2024-02-20,DONE
SHIPMENT082,2024-02-27,CANCELLED
SHIPMENT083,2024-02-25,DONE
SHIPMENT084,2024-03-07,RUNNING
SHIPMENT085,2024-03-16,DONE
SHIPMENT086,2024-02-19,DONE
SHIPMENT087,2024-03-06,CANCELLED
SHIPMENT088,2024-02-18,CANCELLED
SHIPMENT089,2024-02-21,CANCELLED
SHIPMENT090,2024-03-09,CANCELLED
SHIPMENT091,2024-02-28,DONE
SHIPMENT092,2024-03-09,CANCELLED
SHIPMENT093,2024-02-29,CANCELLED
SHIPMENT094,2024-03-18,RUNNING
SHIPMENT095,2024-02-06,RUNNING
SHIPMENT096,2024-02-16,RUNNING
SHIPMENT097,2024-03-08,RUNNING
SHIPMENT098,2024-02-12,RUNNING
